0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:20 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:21 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:21 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:22 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:22 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:41 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:40:44 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 33955
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:41:08 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:42:30 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:44:27 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:45:05 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:45:43 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:45:45 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 33955
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:30 +0700] "GET /ManageStaffVinMart/quanlylichlamviec.html HTTP/1.1" 200 23988
